Time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
2,0.00565,-0.04524,1.00632,7.47253,-0.10071,-1.87888
2.4,0.00504,-0.04875,1.0112,7.39197,0.14099,-2.13387
2.8,0.0045,-0.04532,1.00456,7.13013,0.02014,-2.13387
2.12,0.00488,-0.04189,0.99831,6.80786,-0.20142,-2.06677
2.16,0.00374,-0.04318,1.00052,6.5863,-0.20142,-2.24124
2.2,0.00397,-0.04616,1.007,6.38489,0.04028,-2.13387
2.24,0.00694,-0.04509,1.01082,6.08276,0.22156,-2.26808
2.28,0.00595,-0.04936,1.01456,6.0022,0.02014,-2.29492
2.32,0.00412,-0.04684,1.01219,5.70007,0.04028,-2.2815
2.36,0.0058,-0.04356,1.00639,5.65979,0.02014,-2.44254
2.4,0.00412,-0.04478,1.00731,5.35767,-0.18127,-2.2815
2.44,0.00504,-0.04684,1.01059,5.15625,-0.14099,-2.2144
2.48,0.00587,-0.04547,1.01448,4.77356,-0.10071,-2.3486
2.52,0.00542,-0.04883,1.01753,4.65271,-0.20142,-2.01309
2.56,0.00526,-0.05005,1.01639,4.24988,-0.02014,-1.9594
2.6,0.00504,-0.04501,1.01051,3.78662,-0.04028,-1.98625
2.64,0.00694,-0.04631,1.01189,3.64563,-0.22156,-2.05335
2.68,0.00587,-0.04837,1.01364,3.16223,-0.38269,-2.01309
2.72,0.00687,-0.04555,1.0112,2.86011,-0.44312,-2.18755
2.76,0.00732,-0.04745,1.01547,2.65869,-0.36255,-1.97282
2.8,0.00572,-0.04883,1.01364,1.95374,-0.08057,-2.12045
2.84,0.0061,-0.04562,1.01006,1.71204,-0.12085,-1.86546
2.88,0.00755,-0.04829,1.0128,1.59119,-0.06042,-1.77152
2.92,0.00816,-0.047,1.01067,1.34949,-0.16113,-1.69099
2.96,0.00496,-0.04601,1.00975,1.10779,-0.38269,-1.69099
2.1,0.00504,-0.04623,1.01006,0.60425,-0.34241,-1.73125
2.104,0.00778,-0.04379,1.00792,0.20142,-0.28198,-1.78494
2.108,0.00633,-0.04677,1.00845,0.26184,-0.38269,-1.7581
2.112,0.00732,-0.04517,1.00998,0.06042,-0.30212,-1.73125
2.116,0.00816,-0.04433,1.01204,-0.12085,-0.2417,-1.59705
2.12,0.00702,-0.04822,1.01257,-0.54382,-0.46326,-1.46284
2.124,0.00687,-0.04524,1.00792,-1.02722,-0.54382,-1.32864
2.128,0.00587,-0.0415,1.00533,-1.08765,-0.64453,-1.19443
2.132,0.00748,-0.04608,1.00662,-1.16821,-0.64453,-1.03338
2.136,0.00809,-0.04433,1.00594,-1.34949,-0.36255,-0.79181
2.14,0.00771,-0.04349,1.007,-1.49048,-0.4834,-0.79181
2.144,0.00778,-0.04776,1.008,-1.67175,-0.44312,-1.06023
2.148,0.00862,-0.04303,1.00395,-1.77246,-0.4834,-1.15417
2.152,0.00793,-0.0441,1.00571,-1.69189,-0.68481,-0.67103
2.156,0.00557,-0.0457,1.00334,-1.93359,-0.78552,-0.57708
2.16,0.00809,-0.0412,0.99869,-2.09473,-0.7251,-0.57708
2.164,0.00992,-0.04433,1.0038,-1.93359,-0.68481,-0.53682
2.168,0.00969,-0.04623,1.00426,-2.29614,-0.74524,-0.65761
2.172,0.00977,-0.04295,1.00067,-2.31628,-0.60425,-0.67103
2.176,0.00977,-0.04486,1.00365,-2.29614,-0.74524,-0.79181
2.18,0.0106,-0.04517,1.00311,-2.59827,-0.62439,-0.56366
2.184,0.00862,-0.04318,0.99945,-2.53784,-0.66467,-0.77839
2.188,0.00862,-0.04173,0.99678,-2.276,-0.46326,-0.42946
2.192,0.01137,-0.04158,0.99754,-2.21558,-0.52368,-0.50998
