time,mag
18.22815,1.021994
18.24829,1.001916
18.26843,0.9834396
18.28857,0.9576039
18.30871,0.957215
18.32886,0.9977384
18.349,1.026248
18.36914,1.01723
18.38928,1.01723
18.40942,0.9914603
18.42956,0.9814708
18.44971,1.00092
18.46985,1.023294
18.48999,1.029418
18.51013,1.022093
18.53027,1.0026
18.55041,1.0026
18.57055,1.0026
18.5907,0.9888809
18.61084,1.002729
18.63098,1.025342
18.65112,0.9998462
18.67126,0.9729281
18.6914,0.9873403
18.71155,0.9972392
18.73169,0.9967747
18.75183,0.9967747
18.77197,1.010207
18.79211,1.015481
18.81225,1.016604
18.8324,1.021349
18.85254,1.021349
18.87268,1.026973
18.89282,1.026594
18.91296,1.022392
18.9331,1.022392
18.95325,1.018812
18.97339,0.9992413
18.99353,0.9992413
19.01367,0.9919207
19.03381,0.9891765
19.05395,0.9952475
19.07409,0.9936551
19.09424,0.9858564
19.11438,0.9815291
19.13452,0.9679126
19.15466,0.9679126
19.1748,0.9613672
19.19494,0.9890983
19.21509,0.9890983
19.23523,1.011331
19.25537,1.019788
19.27551,1.0146
19.29565,1.012689
19.31579,1.012689
19.33594,1.01415
19.35608,1.001839
19.37622,1.001839
19.39636,0.9873281
19.4165,0.9960316
19.43664,1.01153
19.45679,1.013207
19.47693,1.004743
19.49707,1.00879
19.51721,1.007429
19.53735,0.9966164
19.55749,0.9966164
19.57763,1.01036
19.59778,1.01036
19.61792,1.01797
19.63806,1.032664
19.6582,1.045183
19.67834,1.037906
19.69848,1.014277
19.71863,1.003727
19.73877,0.9998975
19.75891,0.9998975
19.77905,0.9939926
19.79919,0.9710343
19.81933,0.9599327
19.83948,0.9583002
19.85962,0.9475213
19.87976,0.9476287
19.8999,0.9476287
19.92004,0.9683741
19.94018,0.9719276
19.96033,0.9719276
19.98047,0.9554225
20.00061,0.9719473
20.02075,1.0032
20.04089,1.019391
20.06103,1.028642
20.08117,1.021274
20.10132,1.005818
20.12146,1.015723
20.1416,1.015723
20.16174,1.031397
20.18188,1.011003
20.20202,1.011003
20.22217,1.022141
20.24231,1.044127
20.26245,1.033277
20.28259,1.015867
20.30273,1.013292
20.32287,1.010574
20.34302,1.010574
20.36316,0.9986552
20.3833,0.9814927
20.40344,0.9650806
20.42358,0.9514776
20.44372,0.9548262
20.46387,0.9757854
20.48401,0.9889976
20.50415,0.9889976
20.52429,1.001798
20.54443,1.001181
20.56457,1.001181
20.58471,0.9894836
20.60486,0.9757917
20.625,0.970057
20.64514,0.9650211
20.66528,0.9695785
20.68542,0.9521617
20.70556,0.9252003
20.72571,0.9252003
20.74585,0.9313229
20.76599,0.9650151
